1,something,サムスィング,何か，あるもの
1,also,オールソウ,もまた，さらに
1,all,オール,すべての，全部の
1,an,アンドゥ,1つの，1人の
1,and,アンド,～と，そして
1,a,アンド,1つの，1人の
1,among,アマング,の間で
1,after,アフター,後
1,about,アバウトゥ,近く，～について
1,against,アゲンストゥ,～に対して
1,again,アゲン,また，再び
1,want,ワントゥ,欲しい，必要
1,wonderful,ワンダフル,すばらしい
1,once,ワンス,一度，かつて
1,one,ワン,1つ(の)，ある
1,was,ワズ,is amの過去形
1,wine,ワイン,ブドウ酒，ワイン
1,wild,ワイルドゥ,野蛮な，野生の
1,wife,ワイフ,妻
1,wide,ワイドゥ,広い，十分に開いた
1,wise,ワイズ,賢い，博識な
1,world,ワールドゥ,世界
1,word,ワードゥ,言葉，語
1,worst,ワーストゥ,最悪の，最も悪い
1,worked,ワークトゥ,workの過去・過去分詞形
1,work,ワーク,(うまく)動く，働く
1,working,ワーキング,働き，作業場
1,were,ワー,areの過去形
1,long,ロング,長い，長く
1,wrong,ロング,故障して，具合が悪い
1,robot,ロボットゥ,ロボット
1,rock,ロック,岩，ロック
1,rocket,ロケットゥ,のろしを上げる，暴騰する
1,rope,ロウプ,投げなわ，ロープ
1,road,ロウドゥ,道
1,rose,ロウズ,バラ，淡赤色
1,low,ロウ,安い，卑劣に
1,level,レベル,レベル，水準
1,left,レフトゥ,左の，左側
1,ready,レディー,用意ができて
1,red,レッドゥ,赤い
1,let,レットゥ,させるあげる
1,lesson,レッスン,授業，教訓
1,leg,レッグ,足
1,letter,レター,手紙
1,restaurant,レストラントゥ,レストラン
1,receive,レシーブ,受け取る
1,rain,レイン,雨が降る，雨
1,rainy,レイニー,雨の，雨の多い
1,late,レイトゥ,遅れた，遅刻した
1,radio,レイディオウ,ラジオ
1,lady,レイディー,婦人，女性
1,later,レイター,lateの比較級，後に
1,race,レイス,レース，競争
1,lake,レイク,湖
1,look,ルック,見る，見える
1,rule,ルール,規則，ルール
1,room,ルーム,部屋
1,roof,ルーフ,てっぺん，屋上
1,lose,ルーズ,失う
1,ring,リング,輪，指輪
1,remember,リメンバー,思い出す，覚えている
1,live,リブ,暮らす，暮らしている
1,river,リバー,川
1,little,リトゥル,小さい，かわいい
1,lip,リップ,唇をあてる，穴のふちにあてる
1,rich,リッチ,豊かな，お金持ちの
1,return,リターン,帰る，戻る
1,listen,リスン,聞く
1,list,リストゥ,名簿に記入する，載る
1,leave,リーブ,去る，～のままにしておく
1,leaf,リーフ,葉
1,read,リードゥ,読む
1,reach,リーチ,到着する，手が届く
1,real,リアル,本当の，実在する
1,really,リアリー,ほんとうに，とても
1,land,ランドゥ,陸，着陸する
1,lunch,ランチ,昼食
1,language,ラングエッジ,言語
1,rang,ラング,ringの過去形
1,run,ラン,走る，経営する
1,love,ラブ,愛，愛する
1,laugh,ラフ,笑う
1,rabbit,ラビットゥ,ウサギ
1,lucky,ラッキー,幸運な
1,last,ラストゥ,この前の，最後の
1,round,ラウンドゥ,丸い，ラウンド
1,line,ライン,行，列
1,library,ライブラリー,図書館
1,life,ライフ,生活，一生
1,ride,ライドゥ,乗る，乗っていく
1,right,ライトゥ,正しい，右の
1,write,ライトゥ,書く
1,light,ライトゥ,光，信号
1,rise,ライズ,のぼる
1,rice,ライス,米
1,like,ライク,好む，好きである
1,lion,ライオン,ライオン，名物男
1,learn,ラーン,学ぶ
1,large,ラージ,大きい，多い
1,use,ユース,使う，使用
1,usual,ユージュアル,いつもの，通例の
1,usually,ユージュアリー,ふつう
1,you,ユー,あなたは，あなたがたは
1,yours,ユアーズ,あなたのもの，あなたがたのもの
1,your,ユア,あなたの，あなたがたの
1,young,ヤング,若い
1,yard,ヤードゥ,庭
1,monkey,モンキー,サル，いたずら小僧
